Atributo 1 - cat,Atributo 2 - dog,class
0.001280407385697538,0.001280407385697538,dog
0.017408884660421547,0.017408884660421547,cat
0.03198133680555556,0.03198133680555556,dog
0.002744959677419355,0.002744959677419355,cat
0.0004368771981242673,0.0004368771981242673,dog
0.015542570339976554,0.015542570339976554,cat
0.0005128956623681126,0.0005128956623681126,dog
0.0006815354215456674,0.0006815354215456674,cat
0.0002390460140679953,0.0002390460140679953,dog
0.026761656513589503,0.026761656513589503,cat
0.0015322757913247362,0.0015322757913247362,dog
0.0156848835495283,0.0156848835495283,dog
0.0,0.0,dog
0.0002784290738569754,0.0002784290738569754,dog
7.052315357561547e-05,7.052315357561547e-05,dog
0.000353531652989449,0.000353531652989449,cat
0.0010349501758499414,0.0010349501758499414,dog
0.0001795134818288394,0.0001795134818288394,cat
0.0,0.0,cat
0.016366102430555557,0.016366102430555557,dog
0.0018647420867526378,0.0018647420867526378,dog
0.04671288833528722,0.04671288833528722,dog
2.7476553341148885e-06,2.7476553341148885e-06,cat
0.0022501990445859873,0.0022501990445859873,dog
0.044427754982415,0.044427754982415,dog
0.00033612983587338804,0.00033612983587338804,cat
0.007069717174677609,0.007069717174677609,cat
0.001137448589894242,0.001137448589894242,cat
0.00033181609547123625,0.00033181609547123625,dog
0.0008514404296875,0.0008514404296875,cat
8.817720090293453e-06,8.817720090293453e-06,cat
0.007161305685814771,0.007161305685814771,dog
0.03278459821428571,0.03278459821428571,cat
0.001018464243845252,0.001018464243845252,cat
2.7476553341148885e-06,2.7476553341148885e-06,dog
9.158851113716295e-07,9.158851113716295e-07,cat
0.00025553385416666666,0.00025553385416666666,cat
0.000272017878077374,0.000272017878077374,cat
0.018509928385416666,0.018509928385416666,cat
0.004149875439624854,0.004149875439624854,dog
0.0014359595070422536,0.0014359595070422536,dog
0.002027769636576788,0.002027769636576788,cat
0.00209096570926143,0.00209096570926143,dog
0.0019526670574443142,0.0019526670574443142,dog
0.013129213071512309,0.013129213071512309,dog
0.030602469226260257,0.030602469226260257,cat
0.00018867233294255569,0.00018867233294255569,dog
0.02787221570926143,0.02787221570926143,cat
0.0089990234375,0.0089990234375,dog
0.000872838511137163,0.000872838511137163,dog
0.00326904296875,0.00326904296875,cat
0.0015282721796276012,0.0015282721796276012,dog
0.035682883939038686,0.035682883939038686,dog
0.02353275205158265,0.02353275205158265,cat
0.03706495457209848,0.03706495457209848,dog
0.0010693359375,0.0010693359375,dog
0.028024860963983052,0.028024860963983052,cat
1.1906506447831185e-05,1.1906506447831185e-05,cat
0.012916605892648775,0.012916605892648775,dog
0.007616045321637427,0.007616045321637427,cat
0.0025800483587338804,0.0025800483587338804,cat
8.758408071748879e-07,8.758408071748879e-07,cat
0.14574388188745604,0.14574388188745604,dog
0.0014102970157657657,0.0014102970157657657,cat
0.011932904411764705,0.011932904411764705,dog
2.7476553341148885e-06,2.7476553341148885e-06,dog
0.011064808030480657,0.011064808030480657,dog
0.00011814917936694022,0.00011814917936694022,dog
0.0023428341148886284,0.0023428341148886284,dog
0.000576091735052755,0.000576091735052755,cat
0.028179136798088412,0.028179136798088412,dog
0.006212877969762419,0.006212877969762419,dog
0.0013701641266119578,0.0013701641266119578,cat
0.019849978018757326,0.019849978018757326,cat
0.019460726846424383,0.019460726846424383,dog
0.000180429366940211,0.000180429366940211,dog
0.0005385404454865181,0.0005385404454865181,cat
0.0021028645833333333,0.0021028645833333333,dog
0.007480033704572098,0.007480033704572098,dog
0.0221946439038687,0.0221946439038687,dog
0.012797619047619047,0.012797619047619047,cat
0.029033558030480657,0.029033558030480657,cat
0.003145149472450176,0.003145149472450176,cat
0.01657568874560375,0.01657568874560375,cat
0.014459078253223916,0.014459078253223916,dog
0.011585946658851114,0.011585946658851114,dog
0.011620635269953052,0.011620635269953052,dog
0.002313525791324736,0.002313525791324736,cat
0.013891860979929161,0.013891860979929161,dog
1.3738276670574444e-05,1.3738276670574444e-05,cat
0.05233547794117647,0.05233547794117647,cat
4.807692307692308e-05,4.807692307692308e-05,dog
0.0006364291082164329,0.0006364291082164329,cat
0.005846094665885111,0.005846094665885111,dog
0.0041605679156908664,0.0041605679156908664,cat
0.0001117379835873388,0.0001117379835873388,dog
0.003016925556858148,0.003016925556858148,dog
0.012361010174418605,0.012361010174418605,dog
0.016263371922626026,0.016263371922626026,cat
0.0088584407971864,0.0088584407971864,cat
0.0003379616060961313,0.0003379616060961313,dog
0.002617599648300117,0.002617599648300117,dog
0.0034702886869871045,0.0034702886869871045,cat
0.001727294921875,0.001727294921875,cat
0.0005119797772567409,0.0005119797772567409,dog
0.003954791910902696,0.003954791910902696,cat
